Date,Event name,Region,Event count
2025012711,vendas,Santo Andre,70
2025021015,vendas,Santo Andre,66
2025020318,vendas,Santo Andre,64
2025022411,vendas,Santo Andre,64
2025013011,vendas,Santo Andre,63
2025020311,vendas,Santo Andre,63
2025021014,vendas,Santo Andre,63
2025021709,vendas,Santo Andre,62
2025022410,vendas,Santo Andre,62
2024111110,vendas,Santo Andre,61
2025012716,vendas,Santo Andre,61
2025021715,vendas,Santo Andre,61
2025020316,vendas,Santo Andre,60
2025012714,vendas,Santo Andre,59
2025021010,vendas,Santo Andre,59
2025021017,vendas,Santo Andre,59
2025021211,vendas,Santo Andre,59
2024111911,vendas,Santo Andre,58
2025020315,vendas,Santo Andre,58
2024102115,vendas,Santo Andre,57
2024110411,vendas,Santo Andre,56
2025021710,vendas,Santo Andre,56
2025011415,vendas,Santo Andre,55
2025020417,vendas,Santo Andre,55
2025022110,vendas,Santo Andre,55
2025020515,vendas,Santo Andre,54
2025021210,vendas,Santo Andre,54
2025021718,vendas,Santo Andre,54
2025022016,vendas,Santo Andre,54
2024102110,vendas,Santo Andre,53
2025020415,vendas,Santo Andre,53
2025021011,vendas,Santo Andre,53
2025021714,vendas,Santo Andre,53
2025022415,vendas,Santo Andre,53
2024102114,vendas,Santo Andre,52
2025020313,vendas,Santo Andre,52
2024111111,vendas,Santo Andre,51
2025012816,vendas,Santo Andre,51
2025011316,vendas,Santo Andre,50
2025011511,vendas,Santo Andre,50
2024120916,vendas,Santo Andre,49
2025012912,vendas,Santo Andre,49
2025020310,vendas,Santo Andre,49
2025021116,vendas,Santo Andre,49
2025021811,vendas,Santo Andre,49
2025021914,vendas,Santo Andre,49
2024102116,vendas,Santo Andre,48
2025010716,vendas,Santo Andre,48
2025011313,vendas,Santo Andre,48
2025012719,vendas,Santo Andre,48
2025013111,vendas,Santo Andre,48
2025020514,vendas,Santo Andre,48
2025022517,vendas,Santo Andre,48
2024101510,vendas,Santo Andre,47
2025011515,vendas,Santo Andre,47
2025012113,vendas,Santo Andre,47
2025012114,vendas,Santo Andre,47
2025013010,vendas,Santo Andre,47
2025020511,vendas,Santo Andre,47
2025020516,vendas,Santo Andre,47
2025021711,vendas,Santo Andre,47
2024101411,vendas,Santo Andre,46
2024102112,vendas,Santo Andre,46
2024111810,vendas,Santo Andre,46
2024121110,vendas,Santo Andre,46
2025010611,vendas,Santo Andre,46
2025011314,vendas,Santo Andre,46
2025012010,vendas,Santo Andre,46
2025012810,vendas,Santo Andre,46
2025020418,vendas,Santo Andre,46
2025021311,vendas,Santo Andre,46
2025022011,vendas,Santo Andre,46
2024110409,vendas,Santo Andre,45
2025010710,vendas,Santo Andre,45
2025011311,vendas,Santo Andre,45
2025012012,vendas,Santo Andre,45
2025012014,vendas,Santo Andre,45
2025012117,vendas,Santo Andre,45
2025012914,vendas,Santo Andre,45
2025020416,vendas,Santo Andre,45
2025020509,vendas,Santo Andre,45
2025020510,vendas,Santo Andre,45
2025020710,vendas,Santo Andre,45
2025021009,vendas,Santo Andre,45
2025021012,vendas,Santo Andre,45
2025021212,vendas,Santo Andre,45
2025022416,vendas,Santo Andre,45
2024102910,vendas,Santo Andre,44
2024110510,vendas,Santo Andre,44
2024112617,vendas,Santo Andre,44
2024120417,vendas,Santo Andre,44
2025012210,vendas,Santo Andre,44
2025012310,vendas,Santo Andre,44
2025020512,vendas,Santo Andre,44
2025020617,vendas,Santo Andre,44
2025021018,vendas,Santo Andre,44
2025021114,vendas,Santo Andre,44
2025021713,vendas,Santo Andre,44
2025021716,vendas,Santo Andre,44
2025022412,vendas,Santo Andre,44
2025022414,vendas,Santo Andre,44
2024100710,vendas,Santo Andre,43
2024102817,vendas,Santo Andre,43
2025010810,vendas,Santo Andre,43
2025011414,vendas,Santo Andre,43
2025012111,vendas,Santo Andre,43
2025012713,vendas,Santo Andre,43
2025012718,vendas,Santo Andre,43
2025012911,vendas,Santo Andre,43
2025020308,vendas,Santo Andre,43
2025020314,vendas,Santo Andre,43
2025020517,vendas,Santo Andre,43
2025021110,vendas,Santo Andre,43
2025021314,vendas,Santo Andre,43
2025021816,vendas,Santo Andre,43
2025022009,vendas,Santo Andre,43
2025022417,vendas,Santo Andre,43
2025022514,vendas,Santo Andre,43
2024101116,vendas,Santo Andre,42
2024102216,vendas,Santo Andre,42
2024102813,vendas,Santo Andre,42
2025012009,vendas,Santo Andre,42
2025012017,vendas,Santo Andre,42
2025020414,vendas,Santo Andre,42
2025020611,vendas,Santo Andre,42
2025020615,vendas,Santo Andre,42
2025021115,vendas,Santo Andre,42
2025021411,vendas,Santo Andre,42
2025022017,vendas,Santo Andre,42
2025022409,vendas,Santo Andre,42
2025022510,vendas,Santo Andre,42
2024101111,vendas,Santo Andre,41
2024102315,vendas,Santo Andre,41
2024121612,vendas,Santo Andre,41
2025010616,vendas,Santo Andre,41
2025011611,vendas,Santo Andre,41
2025012315,vendas,Santo Andre,41
2025012812,vendas,Santo Andre,41
2025012817,vendas,Santo Andre,41
2025012918,vendas,Santo Andre,41
2025013112,vendas,Santo Andre,41
2025013117,vendas,Santo Andre,41
2025020312,vendas,Santo Andre,41
2025020412,vendas,Santo Andre,41
2025020519,vendas,Santo Andre,41
2025020610,vendas,Santo Andre,41
2025021013,vendas,Santo Andre,41
2025021016,vendas,Santo Andre,41
2025021215,vendas,Santo Andre,41
2024100709,vendas,Santo Andre,40
2024101511,vendas,Santo Andre,40
2024101609,vendas,Santo Andre,40
2024102811,vendas,Santo Andre,40
2024111211,vendas,Santo Andre,40
2024111311,vendas,Santo Andre,40
2024112518,vendas,Santo Andre,40
2024120315,vendas,Santo Andre,40
2025010713,vendas,Santo Andre,40
2025010816,vendas,Santo Andre,40
2025010914,vendas,Santo Andre,40
2025011312,vendas,Santo Andre,40
2025011411,vendas,Santo Andre,40
2025011514,vendas,Santo Andre,40
2025012015,vendas,Santo Andre,40
2025012018,vendas,Santo Andre,40
2025012710,vendas,Santo Andre,40
2025012717,vendas,Santo Andre,40
2025012811,vendas,Santo Andre,40
2025020612,vendas,Santo Andre,40
2025020614,vendas,Santo Andre,40
2025021111,vendas,Santo Andre,40
2025021117,vendas,Santo Andre,40
2025021217,vendas,Santo Andre,40
2025021809,vendas,Santo Andre,40
2025021814,vendas,Santo Andre,40
2025021916,vendas,Santo Andre,40
2024100714,vendas,Santo Andre,39
2024101415,vendas,Santo Andre,39
2024102117,vendas,Santo Andre,39
2024102210,vendas,Santo Andre,39
2024102812,vendas,Santo Andre,39
2024110410,vendas,Santo Andre,39
2024110511,vendas,Santo Andre,39
2024120912,vendas,Santo Andre,39
2024121010,vendas,Santo Andre,39
2025010618,vendas,Santo Andre,39
2025010917,vendas,Santo Andre,39
2025011510,vendas,Santo Andre,39
2025011616,vendas,Santo Andre,39
2025012011,vendas,Santo Andre,39
2025012110,vendas,Santo Andre,39
2025012115,vendas,Santo Andre,39
2025013113,vendas,Santo Andre,39
2025020518,vendas,Santo Andre,39
2025020711,vendas,Santo Andre,39
2025021112,vendas,Santo Andre,39
2025021209,vendas,Santo Andre,39
2025021410,vendas,Santo Andre,39
2025021810,vendas,Santo Andre,39
2025021815,vendas,Santo Andre,39
2025021910,vendas,Santo Andre,39
2025022115,vendas,Santo Andre,39
2025022413,vendas,Santo Andre,39
2024100715,vendas,Santo Andre,38
2024110417,vendas,Santo Andre,38
2024111113,vendas,Santo Andre,38
2024112716,vendas,Santo Andre,38
2024120213,vendas,Santo Andre,38
2024120611,vendas,Santo Andre,38
2024120910,vendas,Santo Andre,38
2024120911,vendas,Santo Andre,38
2025010615,vendas,Santo Andre,38
2025011010,vendas,Santo Andre,38
2025011310,vendas,Santo Andre,38
2025011713,vendas,Santo Andre,38
2025012016,vendas,Santo Andre,38
2025012215,vendas,Santo Andre,38
2025012815,vendas,Santo Andre,38
2025013114,vendas,Santo Andre,38
2025020317,vendas,Santo Andre,38
2025020609,vendas,Santo Andre,38
2025021216,vendas,Santo Andre,38
2025022111,vendas,Santo Andre,38
2024100711,vendas,Santo Andre,37
2024101615,vendas,Santo Andre,37
2024101812,vendas,Santo Andre,37
2024102118,vendas,Santo Andre,37
2024102215,vendas,Santo Andre,37
2024111215,vendas,Santo Andre,37
2024111218,vendas,Santo Andre,37
2024111411,vendas,Santo Andre,37
2024111809,vendas,Santo Andre,37
2024111811,vendas,Santo Andre,37
2024111813,vendas,Santo Andre,37
2024112118,vendas,Santo Andre,37
2024112509,vendas,Santo Andre,37
2024112516,vendas,Santo Andre,37
2025010215,vendas,Santo Andre,37
2025011309,vendas,Santo Andre,37
2025011318,vendas,Santo Andre,37
2025011416,vendas,Santo Andre,37
2025012314,vendas,Santo Andre,37
2025012910,vendas,Santo Andre,37
2025012917,vendas,Santo Andre,37
2025013015,vendas,Santo Andre,37
2025013116,vendas,Santo Andre,37
2025021113,vendas,Santo Andre,37
2025021119,vendas,Santo Andre,37
2025021309,vendas,Santo Andre,37
2025021416,vendas,Santo Andre,37
2025021911,vendas,Santo Andre,37
2024101611,vendas,Santo Andre,36
2024101613,vendas,Santo Andre,36
2024102119,vendas,Santo Andre,36
2024102809,vendas,Santo Andre,36
2024102815,vendas,Santo Andre,36
2024103009,vendas,Santo Andre,36
2024103110,vendas,Santo Andre,36
2024111115,vendas,Santo Andre,36
2024111216,vendas,Santo Andre,36
2024111312,vendas,Santo Andre,36
2024111413,vendas,Santo Andre,36
2024120915,vendas,Santo Andre,36
2024120917,vendas,Santo Andre,36
2025010811,vendas,Santo Andre,36
2025012317,vendas,Santo Andre,36
2025012410,vendas,Santo Andre,36
2025012415,vendas,Santo Andre,36
2025012709,vendas,Santo Andre,36
2025012715,vendas,Santo Andre,36
2025012819,vendas,Santo Andre,36
2025013014,vendas,Santo Andre,36
2025013110,vendas,Santo Andre,36
2025021118,vendas,Santo Andre,36
2025021313,vendas,Santo Andre,36
2025021915,vendas,Santo Andre,36
2025022015,vendas,Santo Andre,36
2025022117,vendas,Santo Andre,36
2024101410,vendas,Santo Andre,35
2024101416,vendas,Santo Andre,35
2024102111,vendas,Santo Andre,35
2024102412,vendas,Santo Andre,35
2024102510,vendas,Santo Andre,35
2024103111,vendas,Santo Andre,35
2024111109,vendas,Santo Andre,35
2024111210,vendas,Santo Andre,35
2024111220,vendas,Santo Andre,35
2024111814,vendas,Santo Andre,35
2024120215,vendas,Santo Andre,35
2024120309,vendas,Santo Andre,35
2025010709,vendas,Santo Andre,35
2025010711,vendas,Santo Andre,35
2025011315,vendas,Santo Andre,35
2025011516,vendas,Santo Andre,35
2025011610,vendas,Santo Andre,35
2025011617,vendas,Santo Andre,35
2025012209,vendas,Santo Andre,35
